Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00    3068/3068        Board::~Board() [283]
                0.00    0.00       1/9035        Move::Move(int, short) [256]
                0.00    0.00       1/8           __gcc_deregister_frame [292]
                0.00    0.00       1/1           UCT::FindBestUCT(UCT::Node*) [301]
-----------------------------------------------
                                2898             UCT::MCSimulation(Board&, UCT::Node*, int) [7]
                0.00    0.67    3068/3068        UCT::GenMove(Board&, int) [6]
[7]     24.9    0.00    0.67    3068+2898    UCT::MCSimulation(Board&, UCT::Node*, int) [7]
                0.01    0.64    3068/3068        MC::Simulate(Board&, int) [8]
                0.00    0.01    5966/5966        UCT::FindBestChild(UCT::Node*) [62]
                0.00    0.00    5966/645549      Board::PlayMove(Move const&) [9]
                0.00    0.00     170/171         UCT::GenChild(UCT::Node*, Board&, int) [79]
                0.00    0.00    5966/9035        Move::Move(int, short) [256]
                                2898             UCT::MCSimulation(Board&, UCT::Node*, int) [7]
-----------------------------------------------
                0.01    0.64    3068/3068        UCT::MCSimulation(Board&, UCT::Node*, int) [7]
[8]     24.3    0.01    0.64    3068         MC::Simulate(Board&, int) [8]
                0.09    0.43  639582/645549      Board::PlayMove(Move const&) [9]
                0.00    0.11  639582/639582      void std::advance<std::_Rb_tree_const_iterator<short>, unsigned long long>(std::_Rb_tree_const_iterator<short>&, unsigned long long) [16]
                0.00    0.00 1282232/1282232     std::set<short, std::less<short>, std::allocator<short> >::size() const [70]
                0.00    0.00  639582/668312      std::_Rb_tree_const_iterator<short>::operator*() const [73]
                0.00    0.00  642650/642650      Board::GetPlayablePositionMC(int) [234]
                0.00    0.00  639582/639753      std::set<short, std::less<short>, std::allocator<short> >::begin() const [235]
                0.00    0.00    3068/3068        Board::StartMC() [282]
                0.00    0.00    3068/9035        Move::Move(int, short) [256]
                0.00    0.00    3068/3068        MC::Evaluate(Board&, int) [281]
-----------------------------------------------
                0.00    0.00       1/645549      Controller::GTPGenmove(Board&) [5]
                0.00    0.00    5966/645549      UCT::MCSimulation(Board&, UCT::Node*, int) [7]
                0.09    0.43  639582/645549      MC::Simulate(Board&, int) [8]
[9]     19.7    0.09    0.44  645549         Board::PlayMove(Move const&) [9]
                0.01    0.19  645368/645368      Board::FromEmpty(short, int) [11]
                0.02    0.08  370828/472849      Board::CheckSuisidePoint(short) [14]
                0.02    0.07   99916/99916       Board::RemoveChain(short) [18]
                0.02    0.00 5386056/9628710     Board::GetFather(short) [37]
                0.01    0.00  181990/220103      BitSet::GetAirPos() [61]
                0.00    0.01  632672/632672      Board::Merge(short, short) [68]
                0.00    0.00 2370344/5561789     BitSet::reset(int) [53]
                0.00    0.00   17885/1592174     Board::DisAble(short, int) [10]
                0.00    0.00 2370344/3644053     BitSet::count() [205]
-----------------------------------------------
                0.00    0.00   17885/1592174     Board::PlayMove(Move const&) [9]
                0.00    0.01  105701/1592174     Board::SetEye(short, int) [46]
                0.00    0.02  177852/1592174     Board::CheckSuisidePoint(short) [14]
                0.02    0.16 1290736/1592174     Board::FromEmpty(short, int) [11]
[10]     8.7    0.03    0.20 1592174         Board::DisAble(short, int) [10]
                0.00    0.20 1484095/1484095     std::set<short, std::less<short>, std::allocator<short> >::erase(short const&) [12]
                0.00    0.00 1484095/5561789     BitSet::reset(int) [53]
                0.00    0.00 1592174/3879778     BitSet::operator[](int) [204]
-----------------------------------------------
                0.01    0.19  645368/645368      Board::PlayMove(Move const&) [9]
[11]     7.5    0.01    0.19  645368         Board::FromEmpty(short, int) [11]
                0.02    0.16 1290736/1592174     Board::DisAble(short, int) [10]
                0.00    0.00 1290736/1707350     Board::RemoveEye(short, int) [69]
-----------------------------------------------
                0.00    0.20 1484095/1484095     Board::DisAble(short, int) [10]
[12]     7.5    0.00    0.20 1484095         std::set<short, std::less<short>, std::allocator<short> >::erase(short const&) [12]
                0.00    0.20 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase(short const&) [13]
-----------------------------------------------
                0.00    0.20 1484095/1484095     std::set<short, std::less<short>, std::allocator<short> >::erase(short const&) [12]
[13]     7.5    0.00    0.20 1484095         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase(short const&) [13]
                0.04    0.08 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::equal_range(short const&) [15]
                0.00    0.06 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>) [26]
                0.01    0.00 2968190/4250422     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::size() const [55]
                0.01    0.00 2968190/4997142     std::_Rb_tree_const_iterator<short>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<short> const&) [54]
-----------------------------------------------
                0.01    0.02  102021/472849      Board::RemoveChain(short) [18]
                0.02    0.08  370828/472849      Board::PlayMove(Move const&) [9]
[14]     5.0    0.03    0.10  472849         Board::CheckSuisidePoint(short) [14]
                0.00    0.06  767846/1184460     Board::Able(short, int) [20]
                0.00    0.02  177852/1592174     Board::DisAble(short, int) [10]
                0.00    0.02  105701/105701      Board::SetEye(short, int) [46]
                0.01    0.00 1386546/9628710     Board::GetFather(short) [37]
-----------------------------------------------
                0.04    0.08 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase(short const&) [13]
[15]     4.6    0.04    0.08 1484095         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::equal_range(short const&) [15]
                0.01    0.03 11264715/15311906     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node<short> const*) [30]
                0.02    0.00 11264715/16153257     std::less<short>::operator()(short const&, short const&) const [41]
                0.00    0.01 1484095/1484095     std::pair<std::_Rb_tree_iterator<short>, std::_Rb_tree_iterator<short> >::pair<std::_Rb_tree_iterator<short>, std::_Rb_tree_iterator<short>, void>(std::_Rb_tree_iterator<short>&&, std::_Rb_tree_iterator<short>&&) [65]
                0.00    0.01 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_lower_bound(std::_Rb_tree_node<short>*, std::_Rb_tree_node<short>*, short const&) [66]
                0.00    0.01 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_upper_bound(std::_Rb_tree_node<short>*, std::_Rb_tree_node<short>*, short const&) [67]
                0.00    0.00 4408336/6515009     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_right(std::_Rb_tree_node_base*) [201]
                0.00    0.00 4170237/6143575     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_left(std::_Rb_tree_node_base*) [202]
                0.00    0.00 1484095/1954426     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_begin() [212]
                0.00    0.00 1484095/2395747     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_end() [211]
-----------------------------------------------
                0.00    0.11  639582/639582      MC::Simulate(Board&, int) [8]
[16]     4.3    0.00    0.11  639582         void std::advance<std::_Rb_tree_const_iterator<short>, unsigned long long>(std::_Rb_tree_const_iterator<short>&, unsigned long long) [16]
                0.04    0.07  639582/639582      void std::__advance<std::_Rb_tree_const_iterator<short>, long long>(std::_Rb_tree_const_iterator<short>&, long long, std::bidirectional_iterator_tag) [17]
                0.00    0.00  639582/639582      std::iterator_traits<std::_Rb_tree_const_iterator<short> >::iterator_category std::__iterator_category<std::_Rb_tree_const_iterator<short> >(std::_Rb_tree_const_iterator<short> const&) [237]
-----------------------------------------------
                0.04    0.07  639582/639582      void std::advance<std::_Rb_tree_const_iterator<short>, unsigned long long>(std::_Rb_tree_const_iterator<short>&, unsigned long long) [16]
[17]     4.3    0.04    0.07  639582         void std::__advance<std::_Rb_tree_const_iterator<short>, long long>(std::_Rb_tree_const_iterator<short>&, long long, std::bidirectional_iterator_tag) [17]
                0.07    0.00 21762717/23235544     std::_Rb_tree_const_iterator<short>::operator++() [22]
-----------------------------------------------
                0.02    0.07   99916/99916       Board::PlayMove(Move const&) [9]
[18]     3.3    0.02    0.07   99916         Board::RemoveChain(short) [18]
                0.00    0.03  208307/208307      Board::ToEmpty(short) [40]
                0.01    0.02  102021/472849      Board::CheckSuisidePoint(short) [14]
                0.01    0.00 1590764/9628710     Board::GetFather(short) [37]
                0.00    0.00   38113/220103      BitSet::GetAirPos() [61]
                0.00    0.00  745424/1304624     BitSet::set(int) [230]
                0.00    0.00  745424/3644053     BitSet::count() [205]
-----------------------------------------------
                0.00    0.00     676/452927      Board::ClearBoard() [76]
                0.00    0.09  452251/452927      Board::Able(short, int) [20]
[19]     3.3    0.00    0.09  452927         std::set<short, std::less<short>, std::allocator<short> >::insert(short const&) [19]
                0.01    0.08  452927/452927      std::pair<std::_Rb_tree_iterator<short>, bool> std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_insert_unique<short const&>(short const&) [21]
                0.00    0.00  452927/452927      std::pair<std::_Rb_tree_const_iterator<short>, bool>::pair<std::_Rb_tree_iterator<short>&, bool&, void>(std::_Rb_tree_iterator<short>&, bool&) [75]
-----------------------------------------------
                0.00    0.03  416614/1184460     Board::ToEmpty(short) [40]
                0.00    0.06  767846/1184460     Board::CheckSuisidePoint(short) [14]
[20]     3.3    0.00    0.09 1184460         Board::Able(short, int) [20]
                0.00    0.09  452251/452927      std::set<short, std::less<short>, std::allocator<short> >::insert(short const&) [19]
                0.00    0.00 2287604/3879778     BitSet::operator[](int) [204]
                0.00    0.00  452251/1304624     BitSet::set(int) [230]
-----------------------------------------------
                0.01    0.08  452927/452927      std::set<short, std::less<short>, std::allocator<short> >::insert(short const&) [19]
[21]     3.2    0.01    0.08  452927         std::pair<std::_Rb_tree_iterator<short>, bool> std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_insert_unique<short const&>(short const&) [21]
                0.03    0.01  452927/452927      std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_insert_unique_pos(short const&) [34]
                0.00    0.02  452589/452589      std::_Rb_tree_iterator<short> std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_insert_<short const&, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, short const&, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [44]
                0.01    0.00  452589/458725      std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::_Alloc_node(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >&) [60]
                0.00    0.00  452927/452927      std::pair<std::_Rb_tree_iterator<short>, bool>::pair<std::_Rb_tree_iterator<short>, bool, void>(std::_Rb_tree_iterator<short>&&, bool&&) [74]
                0.00    0.00  452589/9842616     short const& std::forward<short const&>(std::remove_reference<short const&>::type&) [45]
                0.00    0.00  452927/17051324     std::_Identity<short>::operator()(short const&) const [52]
                0.00    0.00     338/8601821     std::_Rb_tree_iterator<short>::_Rb_tree_iterator(std::_Rb_tree_node_base*) [64]
-----------------------------------------------
                0.01    0.00 1472827/23235544     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<short>) [39]
                0.07    0.00 21762717/23235544     void std::__advance<std::_Rb_tree_const_iterator<short>, long long>(std::_Rb_tree_const_iterator<short>&, long long, std::bidirectional_iterator_tag) [17]
[22]     3.0    0.08    0.00 23235544         std::_Rb_tree_const_iterator<short>::operator++() [22]
-----------------------------------------------
                0.00    0.06    6136/6136        Board::Board(Board const&) [25]
[23]     2.3    0.00    0.06    6136         std::set<short, std::less<short>, std::allocator<short> >::set(std::set<short, std::less<short>, std::allocator<short> > const&) [23]
                0.01    0.05    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> > const&) [24]
-----------------------------------------------
                0.01    0.05    6136/6136        std::set<short, std::less<short>, std::allocator<short> >::set(std::set<short, std::less<short>, std::allocator<short> > const&) [23]
[24]     2.3    0.01    0.05    6136         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> > const&) [24]
                0.00    0.05    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*) [31]
                0.00    0.00   18408/18408       std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_root() [250]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_Node_allocator() const [260]
                0.00    0.00    6136/6136        __gnu_cxx::__alloc_traits<std::allocator<std::_Rb_tree_node<short> > >::_S_select_on_copy(std::allocator<std::_Rb_tree_node<short> > const&) [259]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree_impl<std::less<short>, true>::_Rb_tree_impl(std::less<short> const&, std::allocator<std::_Rb_tree_node<short> >&&) [276]
                0.00    0.00    6136/6136        std::allocator<std::_Rb_tree_node<short> >::~allocator() [265]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_root() const [261]
                0.00    0.00    6136/2395747     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_end() [211]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_begin() const [262]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_leftmost() [274]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_minimum(std::_Rb_tree_node_base*) [273]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_rightmost() [275]
                0.00    0.00    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_maximum(std::_Rb_tree_node_base*) [272]
-----------------------------------------------
                0.00    0.06    3068/3068        UCT::GenMove(Board&, int) [6]
[25]     2.3    0.00    0.06    3068         Board::Board(Board const&) [25]
                0.00    0.06    6136/6136        std::set<short, std::less<short>, std::allocator<short> >::set(std::set<short, std::less<short>, std::allocator<short> > const&) [23]
-----------------------------------------------
                0.00    0.06 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase(short const&) [13]
[26]     2.3    0.00    0.06 1484095         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>) [26]
                0.01    0.05 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_erase_aux(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>) [28]
                0.01    0.00 1484095/2956922     std::_Rb_tree_const_iterator<short>::_M_const_cast() const [47]
-----------------------------------------------
                0.00    0.02  452589/1489573     std::_Rb_tree_iterator<short> std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_insert_<short const&, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, short const&, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [44]
                0.00    0.04 1036984/1489573     std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_clone_node<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [35]
[27]     2.2    0.00    0.06 1489573         std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::operator()<short const&>(short const&) const [27]
                0.00    0.06 1489573/1489573     std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_create_node<short const&>(short const&) [29]
                0.00    0.00 1489573/9842616     short const& std::forward<short const&>(std::remove_reference<short const&>::type&) [45]
-----------------------------------------------
                0.01    0.05 1484095/1484095     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>) [26]
[28]     2.1    0.01    0.05 1484095         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_erase_aux(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>) [28]
                0.02    0.01 1472827/1472827     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<short>) [39]
                0.01    0.00 1484095/1678925     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::begin() [49]
                0.00    0.00 1576025/4997142     std::_Rb_tree_const_iterator<short>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<short> const&) [54]
                0.00    0.00   91930/91930       std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::end() [77]
                0.00    0.00 2945654/2974555     std::_Rb_tree_const_iterator<short>::operator!=(std::_Rb_tree_const_iterator<short> const&) const [210]
                0.00    0.00 1576025/1576025     std::_Rb_tree_const_iterator<short>::operator==(std::_Rb_tree_const_iterator<short> const&) const [213]
                0.00    0.00 1472827/1501557     std::_Rb_tree_const_iterator<short>::operator++(int) [214]
                0.00    0.00   11268/11268       std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::clear() [255]
-----------------------------------------------
                0.00    0.06 1489573/1489573     std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::operator()<short const&>(short const&) const [27]
[29]     2.1    0.00    0.06 1489573         std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_create_node<short const&>(short const&) [29]
                0.01    0.04 1489573/1489573     void std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_construct_node<short const&>(std::_Rb_tree_node<short>*, short const&) [33]
                0.00    0.00 1489573/9842616     short const& std::forward<short const&>(std::remove_reference<short const&>::type&) [45]
                0.00    0.00 1489573/1489573     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_node() [220]
-----------------------------------------------
                0.00    0.00 1147023/15311906     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_upper_bound(std::_Rb_tree_node<short>*, std::_Rb_tree_node<short>*, short const&) [67]
                0.00    0.00 1155209/15311906     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_lower_bound(std::_Rb_tree_node<short>*, std::_Rb_tree_node<short>*, short const&) [66]
                0.00    0.00 1744959/15311906     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_insert_unique_pos(short const&) [34]
                0.01    0.03 11264715/15311906     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::equal_range(short const&) [15]
[30]     2.0    0.01    0.04 15311906         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node<short> const*) [30]
                0.00    0.03 15311906/15311906     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_value(std::_Rb_tree_node<short> const*) [38]
                0.01    0.00 15311906/17051324     std::_Identity<short>::operator()(short const&) const [52]
-----------------------------------------------
                0.00    0.05    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> > const&) [24]
[31]     2.0    0.00    0.05    6136         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*) [31]
                0.00    0.05    6136/6136        std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [32]
                0.00    0.00    6136/458725      std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::_Alloc_node(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >&) [60]
-----------------------------------------------
                              515424             std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [32]
                0.00    0.05    6136/6136        std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*) [31]
[32]     2.0    0.00    0.05    6136+515424  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [32]
                0.00    0.04 1036984/1036984     std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_clone_node<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [35]
                0.01    0.00  515424/515424      std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_right(std::_Rb_tree_node_base const*) [59]
                0.00    0.00 1036984/1036984     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_left(std::_Rb_tree_node_base const*) [231]
                              515424             std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_copy<std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node>(std::_Rb_tree_node<short> const*, std::_Rb_tree_node<short>*, std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node&) [32]
-----------------------------------------------
                0.01    0.04 1489573/1489573     std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_create_node<short const&>(short const&) [29]
[33]     1.9    0.01    0.04 1489573         void std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_construct_node<short const&>(std::_Rb_tree_node<short>*, short const&) [33]
                0.00    0.03 1489573/1489573     decltype (_S_construct({parm#1}, {parm#2}, (forward<short const&>)({parm#3}))) std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::construct<short, short const&>(std::allocator<std::_Rb_tree_node<short> >&, short*, short const&) [42]
                0.01    0.00 1489573/1489573     std::_Rb_tree_node<short>::_Rb_tree_node() [57]
                0.00    0.00 1489573/9842616     short const& std::forward<short const&>(std::remove_reference<short const&>::type&) [45]
                0.00    0.00 1489573/2979146     operator new(unsigned long long, void*) [206]
                0.00    0.00 1489573/2978810     std::_Rb_tree_node<short>::_M_valptr() [209]
                0.00    0.00 1489573/5957620     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_Node_allocator() [203]
-----------------------------------------------
                0.03    0.01  452927/452927      std::pair<std::_Rb_tree_iterator<short>, bool> std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_insert_unique<short const&>(short const&) [21]
[34]     1.6    0.03    0.01  452927         std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_insert_unique_pos(short const&) [34]
                0.00    0.00 1744959/15311906     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node<short> const*) [30]
                0.00    0.00 2141170/16153257     std::less<short>::operator()(short const&, short const&) const [41]
                0.00    0.00  194830/1678925     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::begin() [49]
                0.00    0.00  396211/841351      std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node_base const*) [71]
                0.00    0.00  452927/8601821     std::_Rb_tree_iterator<short>::_Rb_tree_iterator(std::_Rb_tree_node_base*) [64]
                0.00    0.00  935054/6515009     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_right(std::_Rb_tree_node_base*) [201]
                0.00    0.00  809905/6143575     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_left(std::_Rb_tree_node_base*) [202]
                0.00    0.00  452927/1954426     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_begin() [212]
                0.00    0.00  452927/2395747     std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_end() [211]
                0.00    0.00  452589/452589      std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<short>*&, std::_Rb_tree_node<short>*&, void>(std::_Rb_tree_node<short>*&, std::_Rb_tree_node<short>*&) [242]
                0.00    0.00  194830/194830      std::_Rb_tree_iterator<short>::operator==(std::_Rb_tree_iterator<short> const&) const [244]
                0.00    0.00  138114/138114      std::_Rb_tree_iterator<short>::operator--() [245]
                0.00    0.00     338/338         std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, void>(std::_Rb_tree_node_base*&, std::_Rb_tree_node_base* const&) [285]
-----------------------------------------------
